time,open,high,low,close,tick_volume,spread,real_volume
2019-01-02,0.70473,0.70473,0.6826,0.69149,43433,5,0
2019-01-03,0.69155,0.70186,0.69155,0.70054,48341,5,0
2019-01-04,0.70054,0.71231,0.69931,0.71174,43383,5,0
2019-01-06,0.7118,0.71228,0.71067,0.71228,2951,9,0
2019-01-07,0.71229,0.71489,0.7114,0.71434,38865,4,0
2019-01-08,0.71437,0.71606,0.71157,0.71606,41181,4,0
2019-01-09,0.71626,0.7193,0.71429,0.71744,41897,5,0
2019-01-10,0.71744,0.71966,0.71454,0.71857,39129,5,0
2019-01-11,0.71861,0.7234,0.71815,0.72146,37182,8,0
2019-01-13,0.72047,0.72104,0.72006,0.72007,2361,9,0
2019-01-14,0.72008,0.72169,0.71751,0.71988,34185,3,0
2019-01-15,0.71989,0.72248,0.71794,0.72062,38482,4,0
2019-01-16,0.72063,0.72113,0.71611,0.71717,33505,4,0
2019-01-17,0.71717,0.72207,0.71462,0.71893,37229,4,0
2019-01-18,0.71892,0.72121,0.71611,0.71613,33237,4,0
2019-01-20,0.71596,0.71656,0.71574,0.71621,2080,7,0
2019-01-21,0.7162,0.71787,0.71394,0.7158,27814,4,0
2019-01-22,0.71582,0.71596,0.71151,0.71205,33038,3,0
2019-01-23,0.71205,0.7146,0.7119,0.7146,32798,4,0
2019-01-24,0.71462,0.71658,0.70761,0.7089,38111,5,0
2019-01-25,0.70903,0.71845,0.70752,0.71799,35197,5,0
2019-01-27,0.71647,0.71845,0.71635,0.7178,2463,9,0
2019-01-28,0.71779,0.72034,0.71586,0.71655,29417,3,0
2019-01-29,0.71654,0.71752,0.71369,0.71563,33384,3,0
2019-01-30,0.71564,0.72725,0.71498,0.7253,38555,3,0
2019-01-31,0.7253,0.72943,0.72454,0.72712,37000,3,0
2019-02-01,0.72713,0.72835,0.72361,0.72461,33609,3,0
2019-02-03,0.72446,0.72487,0.72425,0.72477,2047,6,0
2019-02-04,0.72477,0.72534,0.72105,0.72122,31328,3,0
2019-02-05,0.72123,0.72641,0.71932,0.7242,31996,3,0
2019-02-06,0.72421,0.72452,0.71014,0.71099,35317,3,0
2019-02-07,0.711,0.71167,0.70886,0.70934,34228,3,0
2019-02-08,0.70935,0.71007,0.70599,0.70878,32559,3,0
2019-02-10,0.70839,0.71047,0.70816,0.71001,2769,5,0
2019-02-11,0.71001,0.71075,0.70564,0.70619,32324,3,0
2019-02-12,0.70621,0.71054,0.70535,0.71034,32985,3,0
2019-02-13,0.71033,0.71354,0.70842,0.70909,33553,3,0
2019-02-14,0.7091,0.71308,0.70711,0.71036,37738,3,0
2019-02-15,0.71035,0.71477,0.70785,0.71397,33396,4,0
2019-02-17,0.71282,0.71458,0.71278,0.71446,2418,9,0
2019-02-18,0.71446,0.716,0.71234,0.71304,27749,6,0
2019-02-19,0.71305,0.7173,0.71028,0.71666,34299,3,0
2019-02-20,0.71669,0.71821,0.71404,0.7168,36243,3,0
2019-02-21,0.71681,0.72063,0.70698,0.71072,41730,3,0
2019-02-22,0.71076,0.71493,0.70821,0.71262,36009,4,0
2019-02-24,0.71297,0.71561,0.7128,0.71557,2933,9,0
2019-02-25,0.71566,0.71835,0.71338,0.71709,34999,3,0
2019-02-26,0.7171,0.71942,0.71413,0.71926,34138,3,0
2019-02-27,0.71927,0.71951,0.71268,0.71476,35672,3,0
2019-02-28,0.71476,0.71655,0.70895,0.71011,37640,3,0
2019-03-01,0.71011,0.71209,0.70694,0.70796,31469,3,0
2019-03-03,0.71048,0.71119,0.70929,0.70988,2683,9,0
2019-03-04,0.70988,0.71014,0.70744,0.70898,34414,3,0
2019-03-05,0.70897,0.70944,0.70583,0.70868,32231,3,0
2019-03-06,0.70868,0.70913,0.70206,0.70318,34001,3,0
2019-03-07,0.70318,0.70507,0.70046,0.70227,32269,3,0
2019-03-08,0.7023,0.70515,0.70026,0.70448,32100,4,0
2019-03-10,0.7029,0.70427,0.7029,0.70371,2090,3,0
2019-03-11,0.7037,0.70772,0.70261,0.70714,28064,3,0
2019-03-12,0.70713,0.7091,0.7054,0.70623,29512,4,0
2019-03-13,0.70621,0.70975,0.70485,0.70856,28334,3,0
2019-03-14,0.70857,0.70858,0.70405,0.70673,30481,3,0
2019-03-15,0.70673,0.70962,0.70654,0.70848,26235,3,0
2019-03-17,0.70801,0.70852,0.70779,0.7083,1725,9,0
2019-03-18,0.70828,0.7119,0.70817,0.70983,26926,4,0
2019-03-19,0.70982,0.71102,0.70847,0.70872,29371,4,0
2019-03-20,0.70872,0.71489,0.70562,0.71329,33457,4,0
2019-03-21,0.71328,0.71669,0.7089,0.71058,36589,4,0
2019-03-22,0.71057,0.71142,0.7075,0.70797,34679,3,0
2019-03-24,0.70749,0.70818,0.70736,0.70801,1875,9,0
2019-03-25,0.708,0.71161,0.70647,0.71153,32641,3,0
2019-03-26,0.71152,0.7147,0.71129,0.7136,31988,3,0
2019-03-27,0.7136,0.71378,0.70679,0.70834,35138,3,0
2019-03-28,0.70833,0.71054,0.70625,0.70821,33472,3,0
2019-03-29,0.7082,0.7104,0.70738,0.70962,29997,3,0
2019-03-31,0.71127,0.71159,0.71034,0.71119,2051,9,0
2019-04-01,0.71117,0.71309,0.70999,0.71092,29752,3,0
2019-04-02,0.7109,0.71271,0.70519,0.70567,30994,3,0
2019-04-03,0.70566,0.71289,0.70538,0.71166,30741,3,0
2019-04-04,0.71166,0.71267,0.7097,0.71083,27931,3,0
2019-04-05,0.71083,0.71307,0.70916,0.71054,24272,4,0
2019-04-07,0.71027,0.71079,0.70995,0.70997,1788,9,0
2019-04-08,0.70996,0.71301,0.70872,0.71207,26483,3,0
2019-04-09,0.71206,0.71514,0.71198,0.71273,27375,3,0
2019-04-10,0.71271,0.71741,0.71089,0.71658,29961,3,0
2019-04-11,0.71657,0.71679,0.71159,0.71221,27390,3,0
2019-04-12,0.71222,0.71914,0.71154,0.71727,27797,3,0
2019-04-14,0.71741,0.71767,0.71688,0.71702,1751,8,0
2019-04-15,0.71699,0.71814,0.71634,0.7173,34782,0,0
2019-04-16,0.71728,0.71784,0.71391,0.7164,30343,3,0
2019-04-17,0.71639,0.7204,0.71558,0.71721,29475,3,0
2019-04-18,0.71721,0.71967,0.71358,0.71457,28831,3,0
2019-04-19,0.71456,0.71551,0.71419,0.71494,13486,13,0
2019-04-21,0.71473,0.71521,0.71433,0.7147,1899,11,0
2019-04-22,0.71469,0.71501,0.71278,0.71329,12917,10,0
2019-04-23,0.71328,0.71328,0.70804,0.70961,16790,12,0
2019-04-24,0.70963,0.70983,0.70039,0.70129,20642,12,0
2019-04-25,0.7013,0.70225,0.69877,0.70165,18511,10,0
2019-04-26,0.70164,0.706,0.70068,0.70376,18068,10,0
2019-04-28,0.70372,0.70441,0.70365,0.70425,1625,11,0
2019-04-29,0.70424,0.70603,0.70384,0.70539,14830,10,0
2019-04-30,0.70542,0.70678,0.70303,0.70488,19265,12,0
2019-05-01,0.70488,0.70603,0.70066,0.70131,16859,12,0
2019-05-02,0.70132,0.70282,0.69926,0.69926,18840,12,0
2019-05-03,0.69927,0.7024,0.69826,0.70224,16478,11,0
2019-05-05,0.69703,0.69969,0.69702,0.69731,2865,13,0
2019-05-06,0.69733,0.70018,0.69623,0.6992,20973,12,0
2019-05-07,0.69921,0.70466,0.69798,0.70074,22881,12,0
2019-05-08,0.70073,0.70259,0.69854,0.69912,23094,12,0
2019-05-09,0.6991,0.6997,0.69643,0.69866,23609,12,0
2019-05-10,0.69868,0.70177,0.69769,0.69981,25244,12,0
2019-05-12,0.69915,0.69971,0.6983,0.6983,2484,13,0
2019-05-13,0.69829,0.69855,0.69394,0.69441,21592,12,0
2019-05-14,0.6944,0.69588,0.69343,0.69369,19684,12,0
2019-05-15,0.69372,0.69374,0.69142,0.69253,20785,12,0
2019-05-16,0.69252,0.6932,0.68851,0.68915,19408,12,0
2019-05-17,0.68913,0.68965,0.68642,0.68666,17946,11,0
2019-05-19,0.69002,0.69045,0.68893,0.69012,2273,13,0
2019-05-20,0.69011,0.69334,0.68987,0.69194,17950,11,0
