time,open,high,low,close,tick_volume,spread,real_volume
2019-01-02,1.14605,1.14961,1.13103,1.1311,53291,6,0
2019-01-03,1.1311,1.14103,1.13097,1.13897,60909,5,0
2019-01-04,1.13897,1.14184,1.13453,1.13954,52630,5,0
2019-01-06,1.1393,1.14111,1.1393,1.14099,1999,8,0
2019-01-07,1.14099,1.1482,1.14043,1.14785,45363,5,0
2019-01-08,1.14785,1.14842,1.14213,1.1454900000000001,47843,4,0
2019-01-09,1.14562,1.15571,1.14385,1.1553,54782,6,0
2019-01-10,1.1553499999999999,1.15692,1.1484,1.15065,52038,5,0
2019-01-11,1.15073,1.15396,1.14575,1.14656,47238,5,0
2019-01-13,1.14537,1.1467,1.14527,1.14595,1981,8,0
2019-01-14,1.14594,1.14813,1.14496,1.14721,43698,4,0
2019-01-15,1.14723,1.1489,1.13814,1.14136,52721,4,0
2019-01-16,1.14137,1.14241,1.13774,1.1398,46479,4,0
2019-01-17,1.13989,1.14055,1.1369799999999999,1.13916,45970,3,0
2019-01-18,1.13918,1.14096,1.13527,1.13631,43610,5,0
2019-01-20,1.13595,1.1367099999999999,1.13581,1.13648,1293,6,0
2019-01-21,1.13648,1.13904,1.13562,1.13685,32421,4,0
2019-01-22,1.13685,1.13735,1.1335600000000001,1.13631,41497,3,0
2019-01-23,1.13631,1.13937,1.13503,1.13849,42504,3,0
2019-01-24,1.1385399999999999,1.13907,1.12884,1.13118,53841,6,0
2019-01-25,1.13121,1.14172,1.13046,1.1406,47989,6,0
2019-01-27,1.14021,1.14121,1.13993,1.1412,1808,8,0
2019-01-28,1.14124,1.14432,1.13895,1.14292,38935,3,0
2019-01-29,1.14293,1.14496,1.14107,1.14347,42669,3,0
2019-01-30,1.14346,1.1501000000000001,1.14057,1.1485,44891,3,0
2019-01-31,1.1485,1.15136,1.14352,1.14479,45494,3,0
2019-02-01,1.14479,1.14877,1.1434199999999999,1.14552,40636,4,0
2019-02-03,1.14506,1.14575,1.1446,1.14544,1527,5,0
2019-02-04,1.14543,1.14598,1.1424,1.1435,37440,3,0
2019-02-05,1.14349,1.14399,1.1400000000000001,1.14086,36253,3,0
2019-02-06,1.14086,1.14087,1.13591,1.13655,37629,3,0
2019-02-07,1.13655,1.13674,1.13225,1.13381,38216,3,0
2019-02-08,1.13381,1.13503,1.13206,1.13217,33649,3,0
2019-02-10,1.13216,1.13244,1.13136,1.1323699999999999,2244,3,0
2019-02-11,1.1323699999999999,1.13293,1.12668,1.12785,35431,3,0
2019-02-12,1.1278299999999999,1.13391,1.12571,1.13335,37577,3,0
2019-02-13,1.13336,1.13411,1.12484,1.12643,38322,3,0
2019-02-14,1.12645,1.1309,1.12496,1.12944,41877,3,0
2019-02-15,1.12941,1.13057,1.12336,1.1293199999999999,38383,3,0
2019-02-17,1.12945,1.12955,1.12881,1.1295,1921,9,0
2019-02-18,1.12948,1.13335,1.12937,1.13113,28688,5,0
2019-02-19,1.13112,1.13568,1.1275,1.13395,39290,4,0
2019-02-20,1.13395,1.13706,1.13245,1.13455,39255,3,0
2019-02-21,1.13458,1.13658,1.13185,1.1339,42094,4,0
2019-02-22,1.13391,1.13552,1.13157,1.13329,35558,3,0
2019-02-24,1.13395,1.13413,1.13278,1.13413,1634,8,0
2019-02-25,1.13416,1.13669,1.13362,1.1364,36505,3,0
2019-02-26,1.13644,1.14019,1.13446,1.13927,38866,3,0
2019-02-27,1.13927,1.14028,1.13618,1.13792,39629,3,0
2019-02-28,1.1379299999999999,1.1419,1.13593,1.13727,41857,3,0
2019-03-01,1.13726,1.14079,1.13528,1.13645,37629,3,0
2019-03-03,1.13801,1.13837,1.13717,1.13746,1674,9,0
2019-03-04,1.13746,1.13746,1.13085,1.1336,35209,3,0
2019-03-05,1.1336,1.13379,1.12891,1.13053,36832,3,0
2019-03-06,1.13056,1.1324,1.12825,1.13126,34767,3,0
2019-03-07,1.13127,1.13196,1.11748,1.11979,40375,3,0
2019-03-08,1.11977,1.12454,1.11846,1.12328,38694,3,0
2019-03-10,1.12286,1.12374,1.12286,1.12315,1808,3,0
2019-03-11,1.12313,1.1267800000000001,1.12213,1.12588,34612,3,0
2019-03-12,1.12588,1.13045,1.12487,1.12863,35205,4,0
2019-03-13,1.12862,1.13378,1.12769,1.133,33309,4,0
2019-03-14,1.133,1.13355,1.12936,1.13062,35864,3,0
2019-03-15,1.13063,1.13437,1.12996,1.13249,31171,3,0
2019-03-17,1.13191,1.13268,1.13185,1.1319,1525,6,0
2019-03-18,1.1319,1.13583,1.13188,1.1335600000000001,30879,3,0
2019-03-19,1.13357,1.1360999999999999,1.1333199999999999,1.1353900000000001,31529,3,0
2019-03-20,1.1354,1.14473,1.1335,1.1428099999999999,38422,4,0
2019-03-21,1.1428,1.14371,1.1342,1.13735,40179,3,0
2019-03-22,1.13736,1.13899,1.12724,1.12996,39949,4,0
2019-03-24,1.12917,1.12979,1.12897,1.12955,1356,6,0
2019-03-25,1.12953,1.13306,1.12881,1.13146,37662,3,0
2019-03-26,1.13145,1.13254,1.12614,1.12737,37382,3,0
2019-03-27,1.12735,1.12849,1.12416,1.12516,41746,4,0
2019-03-28,1.12517,1.12609,1.12132,1.12296,40246,3,0
2019-03-29,1.12292,1.12461,1.12094,1.12175,38260,3,0
2019-03-31,1.12247,1.12281,1.12198,1.12229,1292,7,0
2019-04-01,1.12229,1.12491,1.11969,1.12048,36847,4,0
2019-04-02,1.12046,1.12151,1.11831,1.12029,36360,3,0
2019-04-03,1.12029,1.12541,1.12015,1.1244399999999999,37043,3,0
2019-04-04,1.12443,1.12474,1.12055,1.12221,33378,3,0
2019-04-05,1.1222,1.12455,1.1209500000000001,1.1215600000000001,31203,3,0
2019-04-07,1.12133,1.12194,1.12115,1.1218,1764,6,0
2019-04-08,1.12179,1.12738,1.12144,1.12554,32589,3,0
2019-04-09,1.12553,1.12836,1.1255,1.12653,32605,3,0
2019-04-10,1.12652,1.12866,1.1229,1.12755,35745,4,0
2019-04-11,1.12755,1.12868,1.1249500000000001,1.12599,32846,3,0
2019-04-12,1.12598,1.13233,1.12568,1.12989,32825,3,0
2019-04-14,1.13005,1.13069,1.12971,1.13025,1383,5,0
2019-04-15,1.13025,1.13203,1.12973,1.13039,40179,0,0
2019-04-16,1.1304,1.13133,1.12782,1.12841,36960,3,0
2019-04-17,1.12842,1.13231,1.12808,1.12961,34047,3,0
2019-04-18,1.1296,1.13034,1.12256,1.12344,35685,3,0
2019-04-19,1.12341,1.12466,1.12305,1.12425,14428,13,0
2019-04-21,1.12404,1.1244,1.12368,1.12432,1818,11,0
2019-04-22,1.12433,1.12614,1.12355,1.12583,12303,9,0
2019-04-23,1.12585,1.12606,1.11918,1.12236,20081,8,0
2019-04-24,1.12237,1.12239,1.11404,1.11531,25950,7,0
2019-04-25,1.1153,1.1162,1.11174,1.11352,23431,7,0
2019-04-26,1.11351,1.11733,1.11111,1.11448,22272,6,0
2019-04-28,1.11433,1.11513,1.11433,1.11488,1519,6,0
2019-04-29,1.11489,1.11863,1.11447,1.11845,17806,6,0
2019-04-30,1.11844,1.12284,1.11754,1.12152,23168,8,0
2019-05-01,1.12152,1.12641,1.11871,1.1202,21012,8,0
2019-05-02,1.1202,1.12185,1.11696,1.11726,22702,7,0
2019-05-03,1.11725,1.12045,1.1135,1.12012,21710,7,0
2019-05-05,1.11741,1.11987,1.11712,1.11844,2010,8,0
2019-05-06,1.11843,1.12086,1.11787,1.12006,21518,8,0
2019-05-07,1.12005,1.12171,1.11659,1.11893,24116,8,0
2019-05-08,1.11892,1.12131,1.11824,1.11977,26173,8,0
2019-05-09,1.11976,1.12504,1.1173,1.1218,28086,8,0
2019-05-10,1.12181,1.1252900000000001,1.12175,1.12337,23911,8,0
2019-05-12,1.12328,1.12386,1.12325,1.12355,1870,8,0
2019-05-13,1.12353,1.12628,1.12188,1.12318,22464,8,0
2019-05-14,1.12319,1.1243400000000001,1.12009,1.12026,20812,8,0
2019-05-15,1.12027,1.12232,1.1177,1.12069,23055,8,0
2019-05-16,1.12067,1.12234,1.11661,1.1173,20448,8,0
2019-05-17,1.1172900000000001,1.11835,1.11545,1.11568,20323,8,0
2019-05-19,1.11564,1.1166,1.11564,1.11644,1670,8,0
2019-05-20,1.11646,1.11743,1.11503,1.1167,18415,8,0
2019-05-21,1.11669,1.11849,1.11412,1.1164,19843,8,0
2019-05-22,1.1164,1.11795,1.11482,1.1155,18222,8,0
2019-05-23,1.1155,1.11869,1.11063,1.11838,22833,8,0
2019-05-24,1.11836,1.12116,1.11769,1.12045,17521,8,0
2019-05-26,1.12064,1.12111,1.12064,1.12067,1275,8,0
2019-05-27,1.12065,1.12148,1.1186099999999999,1.11929,13708,8,0
2019-05-28,1.11931,1.11977,1.11584,1.11676,20306,8,0
2019-05-29,1.11674,1.11721,1.11236,1.11364,21002,8,0
2019-05-30,1.11363,1.11427,1.11158,1.11294,18353,8,0
2019-05-31,1.11293,1.11792,1.11244,1.11681,23659,8,0
2019-06-02,1.11621,1.11738,1.11599,1.11732,1671,8,0
2019-06-03,1.11731,1.12614,1.11597,1.12452,24758,8,0
2019-06-04,1.12453,1.12768,1.12262,1.12533,26595,8,0
2019-06-05,1.12534,1.13038,1.12192,1.12282,27822,8,0
2019-06-06,1.12281,1.1307800000000001,1.12032,1.12752,26865,8,0
2019-06-07,1.12753,1.13469,1.12509,1.13324,22692,8,0
2019-06-09,1.13213,1.1328,1.1313900000000001,1.13186,1384,8,0
2019-06-10,1.13187,1.13238,1.12893,1.1317599999999999,19797,8,0
2019-06-11,1.13178,1.1337,1.13012,1.13289,22700,8,0
2019-06-12,1.1329,1.13428,1.12825,1.1292200000000001,22988,8,0
2019-06-13,1.1292200000000001,1.13033,1.1267800000000001,1.12792,21209,8,0
2019-06-14,1.1279,1.12886,1.12016,1.12085,23897,8,0
2019-06-16,1.12086,1.12168,1.1207799999999999,1.12152,1622,10,0
2019-06-17,1.12151,1.12462,1.12033,1.12233,18947,10,0
2019-06-18,1.12234,1.12423,1.1181,1.11976,30754,10,0
2019-06-19,1.11976,1.12536,1.11868,1.12354,28158,10,0
2019-06-20,1.12354,1.13165,1.12348,1.1294,33124,10,0
2019-06-21,1.12939,1.13772,1.12827,1.13687,30400,10,0
2019-06-23,1.13676,1.13846,1.13646,1.13846,2019,10,0
2019-06-24,1.13846,1.14029,1.13721,1.13989,24768,10,0
2019-06-25,1.13989,1.14115,1.1344,1.13678,33592,10,0
2019-06-26,1.13678,1.13904,1.13472,1.13729,29000,10,0
2019-06-27,1.1373,1.13809,1.13474,1.13707,26114,10,0
2019-06-28,1.13709,1.13929,1.13504,1.13692,24921,10,0
2019-06-30,1.13579,1.13706,1.13579,1.13597,1583,10,0
2019-07-01,1.13597,1.13635,1.12791,1.12865,28513,10,0
2019-07-02,1.12865,1.13188,1.12743,1.12902,25162,10,0
