time,open,high,low,close,tick_volume,spread,real_volume
2019-01-02,109.662,109.662,105.887,107.405,51346,7,0
2019-01-03,107.414,108.297,106.737,107.842,65799,7,0
2019-01-04,107.843,108.58,107.508,108.517,56776,7,0
2019-01-06,108.581,108.588,108.338,108.536,3205,11,0
2019-01-07,108.541,108.743,108.01,108.62,46140,6,0
2019-01-08,108.624,109.081,108.438,108.745,46036,5,0
2019-01-09,108.745,108.993,107.97,108.18,47979,7,0
2019-01-10,108.18,108.512,107.763,108.28,48496,7,0
2019-01-11,108.273,108.591,108.142,108.543,37617,6,0
2019-01-13,108.466,108.503,108.387,108.446,1436,11,0
2019-01-14,108.447,108.477,107.981,108.23,33349,5,0
2019-01-15,108.232,108.757,108.193,108.644,45705,5,0
2019-01-16,108.647,109.192,108.367,109.035,38749,5,0
2019-01-17,109.035,109.393,108.681,109.139,43295,5,0
2019-01-18,109.14,109.883,109.128,109.768,40268,7,0
2019-01-20,109.603,109.745,109.603,109.671,2333,9,0
2019-01-21,109.675,109.712,109.469,109.669,25642,5,0
2019-01-22,109.669,109.688,109.141,109.356,36409,4,0
2019-01-23,109.354,109.992,109.353,109.493,38739,4,0
2019-01-24,109.493,109.793,109.417,109.585,39620,7,0
2019-01-25,109.589,109.943,109.452,109.537,37630,7,0
2019-01-27,109.463,109.559,109.39,109.41,2908,9,0
2019-01-28,109.411,109.519,109.157,109.257,34577,4,0
2019-01-29,109.251,109.536,109.124,109.423,33619,4,0
2019-01-30,109.424,109.738,108.807,108.974,36220,5,0
2019-01-31,108.974,108.997,108.494,108.842,36645,4,0
2019-02-01,108.844,109.574,108.721,109.515,30999,5,0
2019-02-03,109.494,109.527,109.428,109.44,2822,8,0
2019-02-04,109.441,110.155,109.439,109.968,30311,3,0
2019-02-05,109.971,110.037,109.765,109.934,27445,3,0
2019-02-06,109.937,110.045,109.556,109.973,31323,5,0
2019-02-07,109.979,110.081,109.599,109.753,35942,3,0
2019-02-08,109.753,109.892,109.643,109.747,29969,5,0
2019-02-10,109.654,109.857,109.654,109.813,3244,6,0
2019-02-11,109.812,110.463,109.77,110.389,29654,3,0
2019-02-12,110.392,110.647,110.339,110.505,30480,3,0
2019-02-13,110.506,111.05,110.494,110.929,28135,3,0
