time,open,high,low,close,tick_volume,spread,real_volume
2018-12-31 17:00:00,109.697,109.721,109.648,109.65,1778,9,0
2018-12-31 18:00:00,109.651,109.716,109.634,109.678,1180,8,0
2018-12-31 19:00:00,109.679,109.688,109.592,109.598,789,13,0
2018-12-31 20:00:00,109.598,109.611,109.553,109.603,893,13,0
2018-12-31 21:00:00,109.603,109.607,109.555,109.566,681,13,0
2018-12-31 22:00:00,109.561,109.561,109.543,109.543,5,59,0
2019-01-02 00:00:00,109.662,109.662,109.528,109.614,1243,22,0
2019-01-02 01:00:00,109.615,109.66,109.568,109.586,1180,17,0
2019-01-02 02:00:00,109.588,109.604,109.323,109.405,1636,16,0
2019-01-02 03:00:00,109.405,109.418,109.333,109.408,1025,16,0
2019-01-02 04:00:00,109.41,109.42,109.335,109.381,966,16,0
2019-01-02 05:00:00,109.381,109.419,109.286,109.297,941,15,0
2019-01-02 06:00:00,109.297,109.299,109.118,109.25,1499,7,0
2019-01-02 07:00:00,109.251,109.337,109.177,109.303,1898,10,0
2019-01-02 08:00:00,109.303,109.318,108.897,108.947,2955,9,0
2019-01-02 09:00:00,108.946,108.972,108.704,108.937,2933,10,0
2019-01-02 10:00:00,108.937,109.096,108.874,109.039,2355,10,0
2019-01-02 11:00:00,109.041,109.171,109.039,109.101,2316,9,0
2019-01-02 12:00:00,109.102,109.276,109.097,109.137,2130,9,0
2019-01-02 13:00:00,109.137,109.188,108.816,109.183,2999,9,0
2019-01-02 14:00:00,109.183,109.351,109.17,109.336,2962,9,0
2019-01-02 15:00:00,109.334,109.385,109.261,109.278,2910,9,0
2019-01-02 16:00:00,109.277,109.35,109.21,109.218,2547,9,0
2019-01-02 17:00:00,109.216,109.456,109.214,109.434,2449,10,0
2019-01-02 18:00:00,109.436,109.45,109.375,109.443,1784,9,0
2019-01-02 19:00:00,109.444,109.445,109.178,109.188,2269,7,0
2019-01-02 20:00:00,109.19,109.195,109.033,109.077,2615,8,0
2019-01-02 21:00:00,109.077,109.117,108.865,108.883,1511,7,0
2019-01-02 22:00:00,108.875,108.875,105.887,106.645,2809,27,0
2019-01-02 23:00:00,106.662,107.676,106.656,107.405,3414,44,0
2019-01-03 00:00:00,107.414,107.849,107.414,107.628,2512,12,0
2019-01-03 01:00:00,107.632,107.796,107.421,107.529,2554,11,0
2019-01-03 02:00:00,107.529,107.541,107.068,107.129,2399,11,0
2019-01-03 03:00:00,107.128,107.196,107.012,107.152,1801,10,0
2019-01-03 04:00:00,107.152,107.278,107.147,107.149,1503,11,0
2019-01-03 05:00:00,107.149,107.158,106.737,106.959,2204,8,0
2019-01-03 06:00:00,106.957,106.97,106.795,106.847,2193,8,0
2019-01-03 07:00:00,106.846,107.666,106.845,107.546,3693,9,0
2019-01-03 08:00:00,107.544,107.951,107.424,107.641,3739,10,0
2019-01-03 09:00:00,107.64,107.84,107.639,107.653,2547,10,0
2019-01-03 10:00:00,107.652,107.677,107.503,107.634,2188,9,0
2019-01-03 11:00:00,107.634,107.671,107.51,107.543,2055,9,0
2019-01-03 12:00:00,107.544,107.707,107.519,107.657,1874,10,0
2019-01-03 13:00:00,107.656,107.993,107.591,107.742,3371,9,0
2019-01-03 14:00:00,107.743,107.961,107.698,107.741,3272,9,0
2019-01-03 15:00:00,107.741,107.927,107.103,107.536,5762,10,0
2019-01-03 16:00:00,107.535,108.297,107.49,108.089,4489,10,0
2019-01-03 17:00:00,108.09,108.104,107.825,108.023,3649,10,0
